iter	Passed	Remaining
591	25981	17906
592	26027	17863
593	26070	17819
594	26118	17778
595	26162	17734
596	26206	17690
597	26252	17647
598	26299	17606
599	26341	17560
600	26386	17517
601	26428	17472
602	26469	17426
603	26510	17380
604	26552	17335
605	26590	17288
606	26635	17244
607	26679	17201
608	26719	17155
609	26763	17111
610	26811	17069
611	26852	17024
612	26894	16979
613	26944	16938
614	26992	16897
615	27035	16853
616	27081	16810
617	27124	16766
618	27167	16721
619	27204	16673
620	27249	16630
621	27293	16586
622	27338	16543
623	27381	16499
624	27422	16453
625	27467	16410
626	27508	16364
627	27543	16315
628	27585	16270
629	27629	16226
630	27675	16184
631	27717	16139
632	27758	16094
633	27801	16049
634	27843	16004
635	27888	15961
636	27930	15916
637	27969	15869
638	28011	15824
639	28055	15781
640	28157	15770
641	28228	15740
642	28274	15698
643	28323	15657
644	28360	15609
645	28402	15564
646	28438	15515
647	28480	15470
648	28524	15426
649	28559	15378
650	28602	15333
651	28648	15290
652	28692	15246
653	28738	15204
654	28780	15159
655	28822	15114
656	28862	15068
657	28906	15024
658	28952	14981
659	28994	14936
660	29034	14890
661	29075	14845
662	29118	14800
663	29164	14758
664	29205	14712
665	29246	14667
666	29287	14621
667	29332	14578
668	29379	14535
669	29417	14489
670	29459	14444
671	29501	14399
672	29547	14356
673	29592	14313
674	29634	14268
675	29673	14222
676	29715	14177
677	29758	14132
678	29802	14089
679	29844	14044
680	29890	14001
681	29934	13957
682	29971	13910
683	30017	13867
684	30059	13823
685	30101	13778
686	30143	13733
687	30187	13689
688	30234	13647
689	30276	13602
690	30319	13558
691	30362	13514
692	30405	13469
693	30453	13427
694	30493	13382
695	30533	13336
696	30577	13292
697	30621	13248
698	30667	13205
699	30704	13158
700	30754	13117
701	30800	13074
702	30845	13031
703	30888	12987
704	30932	12943
705	30975	12899
706	31017	12854
707	31062	12811
708	31106	12767
709	31147	12722
710	31188	12677
711	31229	12632
712	31273	12588
713	31320	12545
714	31359	12499
715	31402	12455
716	31446	12412
717	31489	12367
718	31533	12323
719	31574	12279
720	31618	12235
721	31662	12191
722	31709	12148
723	31757	12106
724	31801	12062
725	31847	12019
726	31887	11974
727	31935	11932
728	31979	11888
729	32024	11844
730	32071	11801
731	32115	11758
732	32168	11717
733	32214	11674
734	32261	11631
735	32307	11588
736	32352	11545
737	32394	11500
738	32439	11457
739	32483	11413
740	32525	11368
741	32569	11324
742	32612	11280
743	32656	11236
744	32698	11191
745	32740	11147
746	32783	11103
747	32828	11059
748	32868	11014
749	32910	10970
750	32953	10926
751	32996	10881
752	33042	10838
753	33089	10795
754	33134	10752
755	33179	10708
756	33223	10664
757	33267	10621
758	33311	10577
759	33354	10532
760	33396	10488
761	33439	10444
762	33481	10399
763	33526	10356
764	33570	10312
765	33614	10268
766	33659	10224
767	33704	10181
768	33749	10138
769	33793	10094
770	33839	10050
771	33884	10007
772	33930	9963
773	33977	9921
774	34020	9876
775	34066	9833
776	34108	9789
777	34153	9745
778	34196	9701
779	34238	9657
780	34277	9611
781	34318	9567
